feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
1.497371,0.040009,-1.057152,-1.161276,-0.067362,1.142775,0.166359,1.328388,-0.874747,-1.369355,normal
-1.024216,-0.369703,-0.502589,-0.777564,1.268526,-0.350672,0.661330,0.173386,1.065249,-0.627580,normal
2.218771,-0.012176,0.302651,1.935033,-0.850603,0.724563,-0.458343,-0.680829,1.480479,-0.145016,normal
0.479137,-0.603170,-0.264677,-1.516034,1.859530,0.021663,0.004448,0.640380,0.713142,-2.221048,normal
0.230868,0.269802,0.009484,-1.340587,0.473560,0.655185,-0.527444,0.630119,0.094168,-1.054270,normal
-0.594765,2.040578,1.483785,0.962114,0.390941,-0.629391,1.870176,-0.706950,-0.974261,0.353511,normal
0.087465,-0.992421,0.127833,1.350693,-0.515188,1.642991,0.520635,0.011380,-0.114860,0.319142,normal
0.320528,-1.098059,0.743105,0.773018,0.158632,0.849252,0.856356,-0.225103,-1.148701,0.031286,normal
-1.456242,-0.588378,0.574172,2.163609,1.433015,0.521624,-1.089921,1.407573,-0.288678,-0.953395,normal
1.171857,-1.276789,-0.479456,-0.659807,-0.060475,-0.213620,-2.747942,0.145584,2.420981,-0.496026,normal
0.011142,-0.007115,0.044116,0.462093,-0.159544,0.330176,1.336554,-0.782684,0.289414,-0.520764,normal
0.455196,0.539792,0.963307,1.092728,-1.103018,0.446472,2.508414,-0.347673,-0.230126,-0.299840,normal
-0.713440,1.804601,0.195243,-0.025849,-0.741751,-1.319271,-0.048929,1.534784,-2.203294,1.114002,normal
0.239798,1.306827,0.214779,-0.954531,0.693480,0.740369,-1.304475,-0.181438,0.410671,0.563048,normal
0.508837,-0.970038,-0.568955,1.394966,-0.426811,-0.790559,-0.994048,-0.447882,1.947234,0.031647,normal
-0.896824,1.388961,1.458646,1.990985,0.777482,0.730680,-0.764942,0.692379,-0.148299,0.000555,normal
-1.000906,0.743131,-1.027187,0.758714,0.815182,-1.486047,0.489343,1.899879,-0.794659,1.126458,normal
0.897740,-1.131316,2.028348,0.392894,-0.951016,-0.998063,1.580475,0.493191,1.183552,0.235704,normal
1.795261,-0.078624,0.535686,-0.285136,-0.236017,-0.097992,-0.535342,-0.558158,1.826667,-0.467207,normal
-5.084243,-4.876115,8.442814,4.473662,-8.780290,5.056603,-5.552822,5.179127,-8.689425,-5.967082,anomaly
0.030266,0.450160,0.461831,-0.235708,1.082051,0.319365,0.756878,-0.344705,-0.759125,1.358091,normal
-0.280427,-1.238933,0.066654,0.897087,-0.159620,-1.251131,0.996832,-0.358825,0.806038,-0.279029,normal
-1.870417,0.317224,-0.066453,-1.285730,0.503881,0.071904,-1.932345,-1.095177,0.569609,0.685569,normal
-0.304465,0.322082,-1.374454,0.681072,-0.585078,-0.183033,0.206320,-1.033222,0.496676,-1.018952,normal
0.559970,0.537397,-2.773360,1.182474,0.332637,-1.832478,0.278411,-0.155462,0.963905,1.001943,normal
0.096158,0.362417,0.262724,0.647263,0.933247,0.846819,-1.713043,0.946828,0.789765,-1.410057,normal
-0.917410,2.261080,0.939005,-0.043714,-0.845363,-2.446465,0.099230,-0.256879,0.208318,-1.822740,normal
0.594109,0.645015,-0.562093,1.405011,0.557823,-0.048317,-1.420172,-0.507462,-0.262661,0.522314,normal
0.214411,1.258781,-0.890500,-1.401059,-0.371714,-0.207455,-1.243751,0.026921,-0.473280,1.343870,normal
-0.582522,-0.471836,-0.645185,0.847540,0.264325,0.884013,-1.427567,0.181313,1.061249,0.244990,normal
2.219984,0.057081,0.179418,0.781308,0.327108,0.270180,1.586098,0.910473,-1.268018,-1.216505,normal
-0.179719,0.201633,0.644763,-0.489738,-2.109227,0.043819,-0.213743,1.237723,0.380926,-1.381875,normal
5.308793,6.668952,5.669642,-6.636984,4.073783,4.251334,-5.787133,-6.522858,8.929134,7.572637,anomaly
0.657553,-0.685426,1.684169,-1.474159,-0.131638,0.183795,-0.005140,-0.349190,0.922190,-0.378843,normal
-0.097093,0.740703,-0.348462,0.276444,-0.609026,1.596786,-0.562418,-0.547222,0.378085,-0.097015,normal
-0.454331,0.665959,-1.068459,1.058834,1.028133,-0.117675,-1.378493,-0.506084,-0.429182,-1.574110,normal
2.157793,1.967401,1.944318,-0.541671,-1.969101,0.818578,-0.523458,-1.116853,-2.139724,-1.146753,normal
-0.072219,-1.558151,-0.415857,-1.194537,-1.284994,0.676577,-0.623033,-1.219666,0.029668,0.843494,normal
0.726917,-0.099237,-1.959932,-1.649275,-1.310685,-0.172055,0.971478,0.031006,-1.485017,0.067629,normal
1.360024,-0.050941,-0.822744,0.249052,-1.428374,0.550600,-1.590163,-0.013127,2.118527,-0.530422,normal
-0.920010,-0.914475,0.331926,0.716516,-0.644100,-0.274576,0.378944,0.778476,-0.848069,0.280836,normal
-2.865002,-0.186658,1.010579,-1.406244,1.279088,1.296668,-0.211120,-0.178456,2.418491,-1.964743,normal
-0.125857,0.681215,-0.106669,-1.712257,-1.825459,0.906941,0.511593,0.563173,-0.746044,1.103653,normal
-0.719344,0.631452,-1.747298,-0.423115,-1.069084,0.971174,-0.183658,0.388786,-0.210674,-1.464960,normal
1.608501,-0.071272,-0.146740,0.373632,-0.451898,0.770494,1.755637,-0.652232,-0.113843,0.864083,normal
-2.745353,-0.846808,1.247642,0.587553,1.883375,-1.031461,-1.159295,-0.990615,0.236219,0.536137,normal
0.303239,0.868762,1.030648,-1.466221,-0.435026,-1.153774,-0.355600,1.003375,0.279923,-1.897924,normal
1.036844,0.185575,-2.415746,-1.152912,-0.339947,0.958070,0.444611,0.174055,-0.483381,-0.065664,normal
0.209365,1.136634,0.070471,-0.731659,1.461740,-0.298752,-0.745432,0.222493,-0.490855,-0.042714,normal
-1.087287,-0.275320,-1.845024,0.901451,1.662713,-0.519857,2.363863,-0.016047,-1.002391,1.209118,normal
-0.153457,-1.320642,1.795715,0.983293,1.597558,1.741284,0.259366,0.013997,-0.173053,-1.375883,normal
0.089041,1.507910,1.126775,-0.779544,-0.766505,0.378714,-1.454239,0.190877,0.382510,-0.526316,normal
1.072783,0.353690,-1.242321,-0.755819,-2.462629,1.050330,0.226752,0.585423,0.964320,-0.137616,normal
0.080872,0.329564,-0.176887,-0.756773,-1.944062,-0.105622,1.265866,0.037297,0.419123,-0.929312,normal
0.029362,1.029867,-1.203558,-0.175874,-0.713048,0.302272,-0.395127,-0.370122,0.283202,0.307022,normal
-0.593111,-1.674949,-2.138253,-2.695014,0.378669,0.680703,-0.539486,0.322154,-0.477684,-0.845883,normal
-1.143117,-0.841411,-1.192819,1.627615,-1.481581,-0.083271,0.699116,0.902261,-1.688741,-0.158391,normal
-0.004447,-0.739320,-1.511168,-0.621057,1.274583,-1.674204,-0.329327,0.211536,-1.363114,-0.753823,normal
-1.150396,0.767649,-0.398447,-1.008945,-1.638134,-0.761701,-0.364714,1.546350,0.716126,0.286209,normal
-1.614451,-1.675939,1.077614,1.452848,-0.757824,0.715825,0.341782,1.132050,-0.999425,1.427268,normal
-0.342136,0.581920,0.717669,-0.112500,-0.362976,-1.587097,0.064615,-1.330649,1.508948,0.911705,normal
1.253534,-0.342838,-0.540845,-1.131274,-0.223980,-0.499562,0.795762,-0.921761,-0.039099,0.961731,normal
0.567239,0.980911,-0.231876,-0.387943,0.783089,0.332651,-0.319756,0.997723,-0.767373,-0.684403,normal
4.643625,-4.781711,4.131474,-4.902390,-7.989251,7.715130,8.024857,4.343245,4.034031,-4.497802,anomaly
-0.665130,0.173951,-0.025393,-0.062627,-0.185022,-0.307046,-1.562549,-0.060662,0.362573,0.073855,normal
2.457145,0.333798,0.157939,1.005054,-0.007650,0.058450,1.327398,-1.044232,-0.506582,0.617130,normal
1.033684,-1.220853,1.619795,0.321179,0.539992,0.183650,-0.431603,-0.387184,1.220310,-0.615145,normal
0.687938,-0.875174,0.915535,-0.108317,1.135828,0.346877,-0.801573,0.702218,-0.260978,0.052864,normal
1.130931,2.357812,-0.864454,-0.452229,-0.163556,0.762521,0.755523,1.218598,0.456531,0.695615,normal
1.189340,0.529772,0.245959,-0.227365,0.326259,-0.030939,-2.610335,-0.534828,1.060236,1.672268,normal
0.036438,1.155131,-0.337377,1.186557,-1.134986,1.294235,-0.023261,-0.948892,0.508727,-0.621954,normal
-1.058505,2.381313,1.539923,1.482640,1.115055,1.235413,1.061813,0.263227,1.472494,-0.782552,normal
-1.948376,0.739295,0.735613,2.379726,-0.070078,-0.544340,-0.432316,-0.490721,0.135989,-0.404649,normal
1.124062,-0.276532,0.250577,1.065678,1.403030,-0.303948,0.840722,0.160420,-0.781018,-1.072110,normal
-0.606297,-0.868117,2.302318,1.345878,0.120852,0.866139,1.024250,-0.242694,-0.402640,-0.215832,normal
-0.648040,0.356259,-0.663796,-2.527557,2.856930,-0.319912,-0.225231,1.238764,0.324069,-1.684191,normal
-0.230210,-0.094986,0.245481,-0.193017,0.687215,0.994586,-1.386570,0.150994,-0.547274,0.157158,normal
-0.541223,0.076682,-0.693254,0.978934,-0.097228,1.687389,0.410755,1.153104,-1.280525,-1.283247,normal
0.391308,0.341169,0.254443,-0.704434,2.648078,-0.396593,0.358659,-0.247869,2.790529,-0.176898,normal
-0.621120,0.696510,0.979130,-0.273627,0.200004,0.695006,0.023485,-0.527683,-2.111199,0.342492,normal
1.744806,0.552580,-1.090935,-0.538984,1.811098,0.303336,-0.077901,0.366537,2.267003,0.591716,normal
0.096510,0.429522,0.693089,-1.207132,0.422707,-1.273535,0.177938,-1.035849,-0.435898,-0.696179,normal
-2.178167,2.156609,0.784420,1.470978,-1.127677,1.052646,-1.013851,-0.045836,1.318372,-0.206930,normal
-4.771964,-6.465163,4.524077,-5.591323,6.164709,-6.973958,5.195694,7.206952,-8.625086,4.925076,anomaly
1.006631,0.364270,0.783479,0.977871,-0.566317,0.228371,-1.440629,0.613057,0.687311,0.943628,normal
0.559207,0.600038,1.035945,-0.441369,0.988029,-0.827671,1.164112,0.488891,0.053545,-0.236183,normal
-0.134214,0.187811,1.183047,-1.300420,0.109461,2.601032,-1.427679,0.811557,2.145584,0.347591,normal
-5.896980,-5.681560,7.743184,-5.280793,5.474545,5.812862,-6.056542,4.769426,-5.735556,-4.396858,anomaly
-4.791089,-4.467045,-5.952731,-5.648942,5.016555,9.118603,4.446705,6.716050,-3.627787,-5.230268,anomaly
0.001226,-1.357825,0.997347,2.117073,-1.378586,-0.596966,-2.028274,0.965571,-0.000261,0.158286,normal
1.836696,0.001568,-1.328145,1.499919,-0.961868,0.280563,0.428233,-1.711262,-0.458192,-0.849467,normal
0.339060,-0.715786,-0.157980,-0.800646,-2.621970,-0.049241,-1.396386,0.930292,-0.797587,1.392192,normal
-1.075031,-0.196489,-1.178840,1.428699,1.641829,-1.266687,-0.707696,0.673020,0.421979,-0.486861,normal
-1.972580,-0.348561,0.909031,1.478497,-0.100283,0.502276,-0.349522,-0.644513,-1.220918,-1.181324,normal
0.024249,-0.419771,-1.496718,1.905350,0.470104,-0.429048,0.288081,0.428683,-0.232466,0.112560,normal
-0.139657,2.080037,-0.443023,0.058342,0.125553,-1.449259,0.502688,1.754724,-1.445988,0.246407,normal
-0.222778,1.343165,0.429995,0.854097,0.710729,-0.602822,-0.182124,-1.205565,-0.797575,0.613018,normal
-2.327180,0.721007,0.442436,-1.191497,1.856745,0.589491,1.571707,-0.305162,-0.927697,-0.597850,normal
0.859746,0.887706,0.772793,1.775954,1.171917,-0.177758,0.342687,-1.671280,-0.214874,-0.209831,normal
-1.235767,-0.407962,1.233038,-0.151957,0.988104,-0.280964,-1.811626,0.105807,-0.493301,-1.781249,normal
-1.214104,0.526318,0.360474,-0.460593,-0.923013,-1.070792,0.156783,0.671769,0.076730,-0.823069,normal
-0.812304,-0.689719,0.553593,0.178554,-1.300634,-1.701680,1.906407,0.423950,-2.181668,-1.610090,normal
0.667983,0.503791,2.014184,1.126766,0.572220,0.100315,1.907401,-0.719027,0.096965,-1.931911,normal
-0.395762,0.696033,0.229811,0.316945,-0.173276,1.371671,0.798877,1.598813,0.070728,0.143245,normal
8.528328,7.316687,-5.747765,-4.656688,-4.337018,-4.699052,4.506137,5.750332,8.171809,5.672204,anomaly
-1.483809,-0.227677,0.296564,0.392625,0.340823,0.505582,0.838818,-1.319931,1.471388,-0.329474,normal
5.660661,-5.438838,4.770302,-7.047239,6.505725,6.667748,-4.070678,-5.510297,-5.602632,-6.400331,anomaly
-0.451791,0.043796,-0.519907,-0.447959,0.735189,-2.112178,1.417500,-2.379874,-1.107293,-0.793987,normal
-0.661518,0.687830,-0.091429,-0.354436,0.620258,-0.559680,1.323984,-0.223625,-1.746608,2.093695,normal
0.554168,-0.094926,-0.083949,0.608070,-0.836904,0.864805,-0.817697,1.168691,1.866025,-0.035334,normal
0.243069,-0.708271,0.326312,0.730200,1.655781,-0.870233,1.493779,1.105640,-0.637870,1.908635,normal
-0.206619,0.578177,0.163863,-0.444604,-2.134730,1.103537,-0.449348,-1.240409,-1.012558,-0.314260,normal
-0.966118,-0.651099,-0.355885,-0.089234,1.068865,-0.556262,0.712009,-0.367361,-1.503773,-1.014015,normal
0.896945,0.478514,2.243627,-0.928079,-0.555001,-0.837635,-0.237201,-0.398546,-0.526594,0.340797,normal
1.271485,-0.680593,-1.292158,-0.482075,0.276712,0.604271,1.552274,-0.624752,1.885850,-1.187642,normal
0.152120,0.840660,-0.560075,-1.250723,2.216475,1.838609,-0.738184,-1.358496,-0.952455,0.694538,normal
1.634417,1.320860,-1.439939,-1.485085,-0.448144,0.426625,1.722979,-1.732750,1.532789,0.641055,normal
0.857625,0.167188,-0.567692,1.172065,-0.490544,0.693920,-0.288267,-0.244413,0.729839,0.983451,normal
3.879679,5.228304,-8.368312,4.785229,-9.004801,-7.842375,-7.187106,-8.988945,-6.831243,7.601782,anomaly
-0.021520,1.398660,-0.452815,0.681091,-1.120572,0.453292,-0.912510,0.350084,-1.617000,-2.008474,normal
-1.000929,1.774268,0.320223,-1.261254,1.547690,0.328254,-0.761421,0.947292,0.533236,-1.608094,normal
-1.103438,-0.211246,1.107118,-0.758054,-0.353030,1.167070,-0.457902,-0.962310,1.240754,0.516569,normal
-1.702034,0.860920,0.220790,0.252057,0.436783,-0.788119,-0.588069,-0.012906,0.667053,-0.751917,normal
0.149813,0.886457,0.657766,-0.338141,-0.822425,-1.399248,-0.308531,2.355964,0.691495,2.401745,normal
-0.672825,0.589172,0.437823,-0.580690,0.271335,1.231280,-0.939266,-0.488757,0.968913,0.631656,normal
-1.825560,-1.625617,-0.622800,1.038497,-0.633599,0.239304,0.191664,-1.055082,0.149692,1.419171,normal
0.006525,0.747591,0.717460,1.878229,-0.421160,2.438521,2.495367,-0.173881,0.056321,1.480527,normal
0.866798,0.423679,1.431833,1.237602,0.937619,-0.855024,-0.026850,-0.225066,1.442078,-0.102611,normal
-0.103266,1.884254,-0.624563,0.217532,-0.079979,-0.295512,0.863555,1.244246,1.641839,0.319503,normal
-1.255809,0.889202,-0.830956,0.291060,1.162761,-0.137643,-1.088664,-0.332396,0.125296,0.035795,normal
-0.635328,-0.314159,-0.092604,0.614598,0.642855,-0.527123,0.990050,-0.783254,1.122578,-0.139294,normal
1.925870,1.951576,-0.734194,2.888740,1.273245,1.446098,0.165420,-0.765363,-1.117223,0.116744,normal
-0.696032,-1.475069,0.601731,-0.764968,1.177108,1.434902,1.593593,-2.097832,1.292427,0.839824,normal
-1.299446,0.755617,0.174168,0.978662,-1.129023,1.292967,2.266954,0.012902,-1.586366,-1.385866,normal
-1.251418,0.922986,-1.387275,-0.068729,-1.192459,-0.127000,-0.698599,-0.776166,0.518684,0.630441,normal
-6.841534,-3.580041,6.836795,7.094785,-4.209534,7.581683,4.959876,5.831289,-7.100370,4.770500,anomaly
0.088650,0.107102,-0.077272,-0.810880,-0.756813,-0.088011,-0.107449,1.706555,1.152755,-1.257653,normal
-1.511853,-0.221055,-0.353125,-1.414869,0.294802,-2.029917,0.069302,-0.191234,-0.354529,0.044305,normal
1.043194,-1.151399,0.297606,0.608938,-1.015432,2.115549,0.675125,-0.968543,-1.589430,0.224846,normal
-0.082592,-0.674895,-0.935264,1.224111,0.593667,0.147293,1.041133,1.067261,2.362173,-1.006946,normal
-0.119400,1.617072,-1.395098,-1.522890,-0.116610,-0.744843,-1.785541,-0.269386,0.166190,-1.541344,normal
0.574998,-0.842728,2.159316,-1.159544,-0.413102,-0.491121,-0.622184,-0.445205,0.671767,-0.629125,normal
-0.202484,-0.296238,0.662880,-1.122450,-2.301605,-0.782595,0.638124,0.111570,0.373503,-1.308621,normal
-8.636289,4.704577,6.134897,-6.867834,7.600650,-5.459056,-5.044449,6.523242,-7.823712,-4.499230,anomaly
0.674303,1.480246,-1.167244,0.962526,-0.554582,-0.035908,-0.471952,1.331154,0.622221,1.210160,normal
0.742038,1.888061,-0.617872,2.036317,-1.147475,-0.498317,-1.561666,0.034653,-0.222837,-0.275989,normal
0.856810,-0.063699,0.053457,0.778987,-1.253211,-0.182197,2.059277,-0.256212,-2.073866,0.508297,normal
-1.601642,0.448402,0.367580,0.058731,-1.137969,1.128332,1.358473,2.734059,2.569110,-1.032665,normal
0.006357,0.124726,0.901272,-0.906586,-0.323003,0.000355,-0.970754,2.218802,0.523134,-1.746606,normal
-1.791704,0.781085,0.392610,-1.360451,0.465459,0.226863,0.853281,0.935854,0.042318,0.936648,normal
1.530279,-0.199447,0.715873,0.869206,0.471244,0.456005,0.413697,-0.756082,1.631229,-1.214786,normal
-0.837016,-0.798262,-0.418836,-0.965269,0.068337,-0.799123,0.366697,-0.041247,-0.545665,-0.995432,normal
1.711956,-0.858535,0.044679,0.646545,0.125999,0.521550,0.194712,-0.057437,0.623044,0.802078,normal
0.713822,-1.196076,1.612612,0.471205,-0.696066,0.046230,0.839073,1.075665,1.035350,0.559911,normal
-1.968782,-1.167172,0.072953,0.127012,-0.426835,0.740742,0.771383,-1.568495,0.526872,-0.730543,normal
0.532474,0.323256,3.217233,-1.969316,-0.762675,-1.191942,0.914032,0.445184,-0.052139,-0.556877,normal
-0.514598,-1.312336,0.361371,-0.698309,0.323813,-0.452358,-0.980563,0.161380,-0.286474,0.272748,normal
-1.510875,0.100782,-0.002945,1.392722,2.276439,0.804324,0.979495,-0.168496,0.455468,0.013277,normal
-0.420531,-0.949548,1.923283,-0.132456,0.229691,1.896304,1.499715,-1.480579,-1.196933,-1.655824,normal
0.848816,-0.205030,-1.495473,0.707404,-0.500612,-0.190362,-0.370756,2.203791,-0.196905,1.183195,normal
0.130588,-0.655274,-0.669770,-0.257911,-0.706086,1.385246,0.564312,-0.185409,0.578182,1.220150,normal
-1.116472,-0.081277,-1.193156,0.833884,1.268113,0.536714,-0.213552,1.033985,-0.408881,-1.210317,normal
-0.225154,1.611175,-0.279230,0.131741,-0.487171,-0.360322,0.430881,-0.378335,-1.060945,-0.068090,normal
1.038400,0.320396,0.656056,0.001405,-0.906198,-0.182864,-0.054444,0.752504,0.736350,-0.189741,normal
-0.962776,-0.491032,0.495273,-1.731897,-1.851276,0.653427,1.900540,0.421229,-1.006192,0.408614,normal
0.240292,0.430723,-0.943925,0.060769,-0.629378,1.089748,-1.058333,0.283523,0.956028,-0.950494,normal
-1.566296,-0.364845,-1.069060,-1.250547,0.213148,0.045190,0.337775,1.177730,0.065683,0.646028,normal
-0.202694,-0.855340,0.965885,-0.836227,1.805046,-0.121123,0.047727,0.598164,0.043651,-0.707161,normal
-1.875335,-0.070952,0.309465,1.556583,0.406567,-1.851498,0.708009,1.074492,1.239544,1.216356,normal
-0.202131,0.519693,0.427263,-1.686546,0.550278,-1.703176,3.030689,0.482128,1.306422,-0.612213,normal
0.613545,0.122447,1.128013,-0.097690,1.552943,-1.417061,1.510201,-0.351089,-0.951869,0.408340,normal
-0.798054,1.350248,-1.547418,0.549486,-0.563380,0.458926,0.585233,0.025197,1.745587,-2.176930,normal
-0.089079,1.115661,0.179194,2.522749,-0.729616,-0.971972,-1.448613,1.118962,-0.586116,-0.752381,normal
-5.519544,3.384719,-6.793524,-6.204256,-5.305311,-5.779062,6.587615,-4.187631,-5.347983,-8.649439,anomaly
-0.004008,0.114510,-1.673340,0.259778,0.063273,0.106765,-0.701685,0.734967,0.676364,1.396840,normal
0.206773,-0.494536,-1.731236,0.570908,0.053942,-0.800486,0.523788,-2.313261,0.297589,0.232292,normal
-6.512488,-4.056927,6.535948,6.803823,5.302104,-5.058285,-6.077496,-4.745691,-7.952486,-7.694309,anomaly
-1.154569,-0.921819,0.851121,0.346350,-1.409936,-0.047455,-1.840079,-0.618610,0.356115,-1.097429,normal
-1.290936,-0.092543,-1.392556,-1.817173,-1.727305,-0.640382,0.556818,-0.419444,-0.495366,0.889097,normal
0.886339,0.120320,0.282216,-1.474209,0.594394,-1.622149,-0.846236,-2.083572,-0.155452,1.384059,normal
0.202155,0.211122,2.114417,-0.869552,0.506647,-3.438397,1.122868,-0.089108,-1.086753,0.453775,normal
0.068193,-0.541236,0.437183,0.906075,-0.819452,1.512313,0.191345,0.951272,-0.439961,-0.639654,normal
0.339142,-0.823239,0.073981,-0.105810,0.241834,-0.352542,-0.310287,0.237284,1.366770,-1.876764,normal
-0.747604,1.374032,0.051306,0.321668,-0.844807,1.309336,-1.902380,-0.733840,-2.119249,2.255927,normal
